,Country,Lat,Long,GDP (billion USD),Real GDP 2020 (billion USD),Real GDP Per Capita 2020,Wasted Generated Annually (million tons),Wasted Recycled Annually (million tons),% of Wasted Recycled Annually,Net Waste,Particulate Matter Emissions (micrograms per m3),C02 Emissions (megatons),Methane  Emissions (megatons),Electricity by Unclean Energy (%),Electricity by Clean Energy (%),Urban Population (%),Net Migration,Total Agreement,Development Status
0,Algeria,28.0,3.0,169.91,468.4,10700.0,12.38,0.99,8.0,11.39,35.17,150.01,49.94,98.9,1.0999999999999943,74.8,-0.82,-0.82,Developing
1,Angola,-12.3,18.3,97.26,203.71,6200.0,4.21,0.0,0.0,,27.95,34.69,23.28,28.4,71.6,68.1,-0.19,-0.19,Developing
2,Botswana,-22.0,24.0,18.34,37.72,16000.0,0.21,0.0,1.0,,21.24,6.34,5.73,99.8,0.20000000000000284,72.2,2.81,2.81,Developing
3,Benin,9.3,2.15,10.31,40.29,3300.0,0.69,0.17,25.0,0.5199999999999999,33.11,6.48,5.8,96.9,3.0999999999999943,49.5,0.24,0.24,LDC
4,Burundi,-3.3,30.0,3.03,8.69,700.0,1.87,0.0,0.0,,35.61,0.5,1.42,33.3,66.7,14.4,7.09,7.09,LDC
5,Chad,15.0,19.0,10.91,24.97,1500.0,1.36,0.0,0.0,,53.01,1.02,30.69,96.8,3.200000000000003,24.1,-0.13,-0.13,LDC
6,Congo (Brazzaville),-1.0,15.0,8.72,19.03,3400.0,0.45,0.12,26.2,0.33,38.67,3.28,2.24,70.1,29.900000000000006,68.7,0.0,0.0,LDC
7,DRC,0.0,25.0,47.16,96.03,1100.0,14.39,0.7,4.9,13.690000000000001,37.62,2.02,61.24,0.1,99.9,46.8,-0.71,-0.71,LDC
8,Cameroon,6.0,12.0,34.99,94.94,3600.0,3.27,0.01,0.4,3.2600000000000002,65.26,8.29,30.71,32.5,67.5,58.7,-0.31,-0.31,LDC
9,Comoros,-12.1,44.15,1.19,2.73,3100.0,0.09,0.0,0.0,,18.6,0.2,0.19,100.0,0.0,29.9,-2.25,-2.25,LDC
10,none,7.0,21.0,1.94,4.48,900.0,1.11,0.0,0.0,,49.5,0.3,22.44,0.7,99.3,43.1,-3.22,-3.22,LDC
11,Cabo Verde,16.0,-24.0,1.97,3.36,6000.0,0.13,0.0,0.0,,31.99,0.54,0.13,80.2,19.799999999999997,67.5,-0.57,-0.57,Developing
12,Djibouti,11.3,43.0,3.32,5.42,5500.0,0.11,0.0,0.0,,40.38,0.62,0.52,98.2,1.7999999999999972,78.4,4.59,4.59,Developing
13,Egypt,27.0,30.0,323.76,1223.04,12000.0,21.0,2.62,12.5,18.38,79.28,238.56,59.68,88.7,11.299999999999997,43.0,-0.31,-0.31,Developing
14,Equatorial Guinea,2.0,10.0,10.63,23.86,17000.0,0.2,0.0,0.0,,45.9,5.65,11.21,89.4,10.599999999999994,74.0,13.96,13.96,Developing
15,Eritrea,15.0,39.0,5.81,9.7,1600.0,0.73,0.0,0.0,,42.4,0.71,4.48,93.8,6.200000000000003,42.6,-10.11,-10.11,LDC
16,Ethiopia,8.0,38.0,92.15,264.05,2300.0,6.53,0.0,0.0,,34.36,14.87,114.21,0.0,100.0,22.7,-0.19,-0.19,LDC
17,The Gambia,13.28,-16.34,1.75,5.22,2200.0,0.19,0.0,0.0,,32.2,0.53,1.96,98.9,1.0999999999999943,63.9,-0.04,-0.04,LDC
18,Gabon,-1.0,11.45,16.06,32.05,14400.0,0.24,0.0,0.0,,38.51,5.32,1.13,40.6,59.4,90.7,3.67,3.67,Developing
19,Ghana,8.0,-2.0,65.36,164.84,5300.0,3.54,0.0,0.0,,31.95,16.67,22.75,63.8,36.2,58.6,-0.16,-0.16,Developing
20,Guinea,11.0,-10.0,13.55,35.08,2700.0,0.6,0.03,5.0,0.57,22.43,3.0,11.13,22.2,77.8,37.7,0.0,0.0,LDC
21,Cote d'Ivoire,8.0,-5.0,42.5,136.48,5200.0,4.44,0.13,3.0,4.3100000000000005,23.72,9.67,10.3,75.6,24.400000000000006,52.7,1.18,1.18,Developing
