,Country,Geographical Coordinates,GDP (Adjusted to $US),Real GDP (Purchasing Power Parity) 2020,Real GDP Per Capita 2020,Waste Generated Annually,Waste Recycled Annually,% of Waste Recycled Annually,Particulate Matter Emissions,C02 Emissions,Methane Emissions,Environmental Agreements (party to),Environmental Agreements (signed but not ratified),Electricity by Fossil Fuels,Electricity by Nuclear,Electricity by Solar,Electricity by Wind,Electricity by Hydroelectricty,Electricity by Tide and Wave,Electricity by Geothermal,Electricity by Biomass and Waste,Urban Population (%),Net Migration
0,Algeria,"28 00 N, 3 00 E",$169.912 billion (2019 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$468.4 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$495.56 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$491.63 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$10,700 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$11,500 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$11,600 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","12,378,740 tons (2016 est.)","990,299 tons (2013 est.)",8% (2013 est.),35.17 micrograms per cubic meter (2016 est.),150.01 megatons (2016 est.),49.94 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands",Nuclear Test Ban,98.9% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.9% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),74.8% of total population (2022),"-0.82 migrant(s)/1,000 population (2022 est.)"
1,Angola,"12 30 S, 18 30 E",$97.261 billion (2019 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$203.71 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$212.29 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$213.62 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$6,200 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$6,700 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$6,900 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","4,213,644 tons (2012 est.)",,,27.95 micrograms per cubic meter (2016 est.),34.69 megatons (2016 est.),23.28 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping-London Protocol, Ozone Layer Protection, Ship Pollution",none of the selected agreements,28.4% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),70.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),1.4% of total installed capacity (2020 est.),68.1% of total population (2022),"-0.19 migrant(s)/1,000 population (2022 est.)"
2,Botswana,"22 00 S, 24 00 E",$18.335 billion (2019 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$37.72 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$40.95 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$39.75 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$16,000 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$17,800 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$17,600 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","210,854 tons (2010 est.)","2,109 tons (2005 est.)",1% (2005 est.),21.24 micrograms per cubic meter (2016 est.),6.34 megatons (2016 est.),5.73 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Wetlands",none of the selected agreements,99.8% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.2% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),72.2% of total population (2022),"2.81 migrant(s)/1,000 population (2022 est.)"
3,Benin,"9 30 N, 2 15 E",$10.315 billion (2018 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$40.29 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$38.79 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$36.3 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$3,300 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$3,300 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$3,200 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","685,936 tons (1993 est.)","171,484 tons (2005 est.)",25% (2005 est.),33.11 micrograms per cubic meter (2016 est.),6.48 megatons (2016 est.),5.8 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Nuclear Test Ban, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",none of the selected agreements,96.9% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),3.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),49.5% of total population (2022),"0.24 migrant(s)/1,000 population (2022 est.)"
4,Burundi,"3 30 S, 30 00 E",$3.027 billion (2019 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$8.69 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$8.67 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$8.51 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$700 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$800 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$800 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","1,872,016 tons (2002 est.)",,,35.61 micrograms per cubic meter (2016 est.),0.5 megatons (2016 est.),1.42 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Wetlands","Law of the Sea, Nuclear Test Ban",33.3% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),2.3% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),62.8% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),1.7% of total installed capacity (2020 est.),14.4% of total population (2022),"7.09 migrant(s)/1,000 population (2022 est.)"
5,Chad,"15 00 N, 19 00 E",$10.912 billion (2019 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$24.97 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$25.19 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$24.4 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$1,500 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$1,600 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$1,600 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","1,358,851 tons (2010 est.)",,,53.01 micrograms per cubic meter (2016 est.),1.02 megatons (2016 est.),30.69 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Nuclear Test Ban, Ozone Layer Protection, Wetlands",Marine Dumping-London Convention,96.8% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),3.2% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),24.1% of total population (2022),"-0.13 migrant(s)/1,000 population (2022 est.)"
6,Congo (Brazzaville),"1 00 S, 15 00 E",$8.718 billion (2017 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$19.03 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$20.68 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$20.63 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$3,400 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$3,800 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$3,900 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","451,200 tons (1993 est.)","118,214 tons (2005 est.)",26.2% (2005 est.),38.67 micrograms per cubic meter (2016 est.),3.28 megatons (2016 est.),2.24 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping-London Protocol, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands",none of the selected agreements,70.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),29.9% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),68.7% of total population (2022),"0 migrant(s)/1,000 population (2022 est.)"
7,DRC,"0 00 N, 25 00 E",$47.16 billion (2019 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$96.03 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$95.29 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$91.29 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$1,100 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$1,100 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$1,100 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","14,385,226 tons (2016 est.)","704,876 tons (2005 est.)",4.9% (2005 est.),37.62 micrograms per cubic meter (2016 est.),2.02 megatons (2016 est.),61.24 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping-London Convention, Nuclear Test Ban, Ozone Layer Protection, Tropical Timber 2006, Wetlands",Environmental Modification,0.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.1% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),99.6% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.3% of total installed capacity (2020 est.),46.8% of total population (2022),"-0.71 migrant(s)/1,000 population (2022 est.)"
8,Cameroon,"6 00 N, 12 00 E",$34.99 billion (2017 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$94.94 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$94.25 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$90.87 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$3,600 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$3,600 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$3,600 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","3,270,617 tons (2013 est.)","13,082 tons (2009 est.)",0.4% (2009 est.),65.26 micrograms per cubic meter (2016 est.),8.29 megatons (2016 est.),30.71 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 2006, Wetlands, Whaling",Nuclear Test Ban,32.5% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0.2% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),67.3% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),58.7% of total population (2022),"-0.31 migrant(s)/1,000 population (2022 est.)"
9,Comoros,"12 10 S, 44 15 E",$1.186 billion (2019 est.),"{'Real GDP (purchasing power parity) 2020': {'text': '$2.73 billion (2020 est.)'}, 'Real GDP (purchasing power parity) 2019': {'text': '$2.6 billion (2019 est.)'}, 'Real GDP (purchasing power parity) 2018': {'text': '$2.55 billion (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","{'Real GDP per capita 2020': {'text': '$3,100 (2020 est.)'}, 'Real GDP per capita 2019': {'text': '$3,100 (2019 est.)'}, 'Real GDP per capita 2018': {'text': '$3,100 (2018 est.)'}, 'note': '<strong>note:</strong> data are in 2017 dollars'}","91,013 tons (2015 est.)",,,18.6 micrograms per cubic meter (2016 est.),0.2 megatons (2016 est.),0.19 megatons (2020 est.),"Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Climate Change-Paris Agreement, Comprehensive Nuclear Test Ban, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands",none of the selected agreements,100% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),0% of total installed capacity (2020 est.),29.9% of total population (2022),"-2.25 migrant(s)/1,000 population (2022 est.)"
